"
",>>>>>,Lower,Left,<<<<<,"
"
"
",>>>>>,Lower,Right,<<<<<,"
"
"
",>>>>>,Upper,Left,<<<<<,"
"
,-0.039771950302867655,0.042123104271019826,391.0,-29.0,181.0,-210.0,", "
"
",>>>>>,Upper,Right,<<<<<,"
"
,0.03512775279491887,0.052556600363379655,-59.0,407.0,174.0,233.0,", "
,0.03600208210837151,0.0531020521705941,-66.0,412.0,173.0,239.0,", "
,0.03468638488304722,0.05404840048980967,-55.0,411.0,178.0,233.0,", "
,0.03400626171821182,0.051646464128013554,-58.0,396.0,169.0,227.0,", "
,0.037517206568835226,0.0530394461108034,-70.0,420.0,175.0,245.0,", "
,0.03535238145506957,0.05212508257833481,-63.0,405.0,171.0,234.0,", "
,0.03512060417097989,0.0536795815744971,-60.0,410.0,175.0,235.0,", "
,0.0362425216481443,0.05505575917687966,-59.0,423.0,182.0,241.0,", "
,0.036115351170616046,0.05473525766134689,-61.0,419.0,179.0,240.0,", "
,0.0363793070050208,0.05563151294495633,-61.0,425.0,182.0,243.0,", "
,0.034293002568593446,0.05174828770798965,-59.0,397.0,169.0,228.0,", "
,0.03604365352896971,0.05332194533788118,-63.0,413.0,175.0,238.0,", "
,0.035624198269113415,0.05072310318555595,-70.0,398.0,164.0,234.0,", "
,0.037132459402767395,0.054417615172206286,-69.0,425.0,178.0,247.0,", "
,0.03784164531287163,0.05069721152415818,-82.0,410.0,164.0,246.0,", "
,0.03499955073452937,0.05331639901061432,-59.0,409.0,175.0,234.0,", "
,0.03586323218096866,0.05331948354050591,-63.0,413.0,175.0,238.0,", "
,0.036258135820190995,0.05144988783601467,-75.0,407.0,166.0,241.0,", "
,0.03621279550604666,0.053353175711886025,-68.0,416.0,174.0,242.0,", "
,0.03638799381249423,0.05421218397490463,-63.0,419.0,178.0,241.0,", "
,0.03655641626841424,0.05183595950557517,-73.0,409.0,168.0,241.0,", "
,0.035719827622357155,0.053466240906037736,-60.0,414.0,177.0,237.0,", "
,0.03498923123980844,0.05208265043959451,-65.0,401.0,168.0,233.0,", "
,0.034779205395835414,0.05495835647712595,-59.0,409.0,175.0,234.0,", "
,0.03486141566655297,0.052705431571360824,-61.0,403.0,171.0,232.0,", "
,0.03515406039213102,0.05271268146151051,-61.0,405.0,172.0,233.0,", "
,0.0352406405814571,0.052917238745228655,-60.0,406.0,173.0,233.0,", "
,0.03570176172054627,0.052924992580937726,-64.0,408.0,172.0,236.0,", "
,0.03578075753091081,0.05118696752351122,-70.0,402.0,166.0,236.0,", "
,0.03498136918551588,0.05346167607574826,-59.0,407.0,174.0,233.0,", "
,0.03512771419900134,0.05342690810076293,-57.0,407.0,175.0,232.0,", "
,0.035080938429207564,0.052181862612930376,-65.0,401.0,168.0,233.0,", "
,0.03398328742337279,0.05056859757327542,-62.0,390.0,164.0,226.0,", "
,0.03597214409675812,0.05365894694087153,-66.0,412.0,173.0,239.0,", "
,0.03406995569935009,0.0498049005514219,-63.0,383.0,160.0,223.0,", "
,0.0361572146552315,0.052220122399578864,-66.0,408.0,171.0,237.0,", "
,0.036285251381045006,0.051346273127336896,-68.0,402.0,167.0,235.0,", "
,0.03583362577986214,0.05187261525593045,-68.0,406.0,169.0,237.0,", "
,0.035106967552939725,0.0514967032130891,-67.0,401.0,167.0,234.0,", "
,0.03579273312169897,0.05227136479223242,-69.0,407.0,169.0,238.0,", "
,0.03453156717202825,0.05200010045762701,-60.0,398.0,169.0,229.0,", "
,0.036105310022461375,0.05155674789960535,-73.0,403.0,165.0,238.0,", "
,0.03590918415182958,0.04972806442839999,-74.0,394.0,160.0,234.0,", "
,0.03674639976693579,0.053686549518624345,-70.0,418.0,174.0,244.0,", "
,0.03452040243707326,0.05260352784923298,-59.0,401.0,171.0,230.0,", "
,0.03613670079372722,0.052397134549988185,-69.0,409.0,170.0,239.0,", "
,0.03625656988896041,0.05320623517252604,-67.0,413.0,173.0,240.0,", "
,0.03507607508546366,0.04963676535831936,-70.0,388.0,159.0,229.0,", "
,0.035996258562037156,0.051973523319477175,-72.0,406.0,167.0,239.0,", "
,0.03671593360915253,0.05290837978726695,-70.0,414.0,172.0,242.0,", "
,0.035535014124172364,0.0517132332699118,-65.0,403.0,169.0,234.0,", "
,0.03458113772472142,0.05068634604911901,-65.0,391.0,163.0,228.0,", "
,0.03616849031597186,0.0517409077344393,-73.0,403.0,165.0,238.0,", "
,0.03495562592649497,0.05135642146665758,-64.0,396.0,166.0,230.0,", "
,0.03615943876784426,0.05243426482951632,-66.0,408.0,171.0,237.0,", "
,0.03541810168613747,0.052630161331648884,-62.0,404.0,171.0,233.0,", "
,0.0357364651969895,0.05287246452286514,-65.0,405.0,170.0,235.0,", "
,0.03682527451315846,0.04958624791735416,-78.0,394.0,158.0,236.0,", "
,0.035578611396239655,0.052568485698656006,-64.0,406.0,171.0,235.0,", "
,0.035086107246986735,0.05212333196001053,-63.0,401.0,169.0,232.0,", "
,0.033959681724638466,0.051255926972017814,-62.0,388.0,163.0,225.0,", "
,0.03515255437346557,0.05257207660971734,-64.0,402.0,169.0,233.0,", "
,0.03607133537815136,0.05334421317853898,-67.0,413.0,173.0,240.0,", "
,0.036820064796949124,0.053626142063180775,-70.0,418.0,174.0,244.0,", "
,0.03684432779875885,0.05328554666309091,-71.0,419.0,174.0,245.0,", "
,0.03547345917980662,0.0517859611726283,-68.0,404.0,168.0,236.0,", "
,0.037395817888308494,0.052181816876405114,-76.0,412.0,168.0,244.0,", "
,0.03745708805356608,0.053629360053516616,-74.0,420.0,173.0,247.0,", "
,0.03634107115181411,0.05265398497701046,-69.0,411.0,171.0,240.0,", "
