"
",>>>>>,Lower,Left,<<<<<,"
"
Failed,0.042975602955517236,0.01120763553536843,-24.0,-392.0,-208.0,-184.0,", On Motion to Adjourn"
Failed,0.043884593115789294,0.012686133115420132,-17.0,-403.0,-210.0,-193.0,", On Motion to Adjourn"
Failed,0.044595514191162505,0.01239011660235502,-24.0,-410.0,-217.0,-193.0,", On Motion to Adjourn"
Failed,0.04005480830160018,0.01800778623062551,21.0,-375.0,-177.0,-198.0,", On Agreeing to the Amendment"
Failed,0.04259347530404738,0.010635373087536638,-27.0,-389.0,-208.0,-181.0,"Secure Transportation for America Act, On Motion to Rise"
Failed,0.04140820015917457,0.0173291698348643,18.0,-390.0,-186.0,-204.0,", On Motion to Adjourn"
"
",>>>>>,Lower,Right,<<<<<,"
"
Failed,0.012181952393878792,-0.05269604864089241,-406.0,-14.0,-210.0,196.0,"Adopting Rules for the One Hundred Seventh Congress, On Motion to Commit"
Failed,0.013034552926046083,-0.05484894068802436,-419.0,-17.0,-218.0,201.0,"Economic Growth and Tax Relief Act of 2001, On Motion to Recommit with Instructions"
Failed,0.014534501718567332,-0.05240284135797834,-401.0,-35.0,-218.0,183.0,", Rangel Substitute Amendment"
Failed,0.013278917148508278,-0.051869103463776746,-398.0,-26.0,-212.0,186.0,", Rangel Substitute Amendment"
Failed,0.01545542148371202,-0.051536345845342973,-393.0,-43.0,-218.0,175.0,"Death Tax Elimination Act of 2001, On Motion to Recommit with Instructions"
Failed,0.012799377226916394,-0.05523267361676663,-424.0,-14.0,-219.0,205.0,", On Agreeing to the Amendment"
Failed,0.016360248809539967,-0.05108302870552243,-385.0,-51.0,-218.0,167.0,", On Agreeing to the Amendment"
Failed,0.016040821895508366,-0.050824284427226044,-386.0,-50.0,-218.0,168.0,"Foreign Relations Authorization Act, On Motion to Recommit with Instructions"
Failed,0.012619507848489296,-0.05487533068888939,-417.0,-17.0,-217.0,200.0,"No Child Left Behind Act, On Motion to Recommit with Instructions"
Failed,0.01202825736996225,-0.05270908681006672,-396.0,-12.0,-204.0,192.0,"Economic Growth and Tax Relief Reconciliation Act, On Motion to Instruct Conferees"
Failed,0.011425299136444437,-0.05469001818522961,-412.0,-4.0,-208.0,204.0,", On Agreeing to the Amendment"
Failed,0.012135154649684995,-0.0552451272986363,-421.0,-9.0,-215.0,206.0,"2001 Supplemental Appropriations Act, On Motion to Recommit with Instructions"
Failed,0.012372818779692882,-0.05397023315477742,-412.0,-14.0,-213.0,199.0,"2001 Supplemental Appropriations Act, On Motion to Instruct Conferees"
Failed,0.01220986859546869,-0.05526267493568832,-414.0,-8.0,-211.0,203.0,", On Agreeing to the Amendment"
Failed,0.011171993938117726,-0.055339015698321864,-416.0,0.0,-208.0,208.0,", On Agreeing to the Amendment"
Failed,0.01512653816399303,-0.052360909495392745,-385.0,-39.0,-212.0,173.0,"The Community Solutions Act, On Motion to Recommit with Instructions"
Failed,0.016315993433857614,-0.05092051568490252,-384.0,-50.0,-217.0,167.0,", On Agreeing to the Amendment"
Failed,0.015046380204572444,-0.05008413612333699,-381.0,-41.0,-211.0,170.0,", On Motion that the Committee Rise"
Failed,0.014374430069450229,-0.05220444552393292,-402.0,-34.0,-218.0,184.0,"Departments of Veterans Affairs and Housing and Urban Development Appropriations for FY 2002, On Motion to Recommit with Instructions"
Failed,0.01305929884503377,-0.0554153143833412,-417.0,-17.0,-217.0,200.0,"Securing America’s Future Energy Act, On Motion to Recommit with Instructions"
Failed,0.012344687308957587,-0.05516846059040792,-414.0,-12.0,-213.0,201.0,"Bipartisan Patient Protection Act, On Motion to Recommit with Instructions"
Failed,0.013335055491020199,-0.05172048125324476,-392.0,-24.0,-208.0,184.0,"Department of Defense Authorization for Fiscal Year 2002, On Motion to Recommit with Instructions"
Failed,0.014250631673957005,-0.052905876875088236,-405.0,-31.0,-218.0,187.0,"To Provide Tax Incentives for Economic Recovery, On Motion to Recommit with Instructions"
Failed,0.011417226518780407,-0.05431148307887556,-403.0,-5.0,-204.0,199.0,", On Agreeing to the Amendment"
Failed,0.013915106345027236,-0.05405107421584512,-408.0,-26.0,-217.0,191.0,"Secure Transportation for America Act, On Motion to Recommit with Instructions"
Failed,0.013098853399817572,-0.05019951907636911,-375.0,-25.0,-200.0,175.0,", On Agreeing to the Amendment"
Failed,0.014283595740884584,-0.052962780319996204,-397.0,-29.0,-213.0,184.0,"Help America Vote Act, On Motion to Recommit with Instructions"
Failed,0.01495896419205857,-0.05291907901771708,-401.0,-37.0,-219.0,182.0,", On Agreeing to the Amendment"
Failed,0.013221518937460442,-0.05227100402259374,-391.0,-21.0,-206.0,185.0,", On Agreeing to the Amendment"
Failed,0.015350692546963043,-0.05086926137753932,-387.0,-43.0,-215.0,172.0,", On Agreeing to the Amendment"
Failed,0.01594608720527023,-0.05255093242013516,-398.0,-44.0,-221.0,177.0,"Class Action Fairness Act, On Motion to Recommit with Instructions"
Failed,0.012632643702316721,-0.05370867789647848,-411.0,-15.0,-213.0,198.0,", On Agreeing to the Amendment"
Failed,0.011981158157582461,-0.05417380650302737,-410.0,-8.0,-209.0,201.0,"Pension Security Act, On Motion to Recommit with Instructions"
Failed,0.012854792742835935,-0.05394810983445558,-409.0,-17.0,-213.0,196.0,", On Agreeing to the Amendment"
Failed,0.013150789405835795,-0.05524558856438424,-419.0,-17.0,-218.0,201.0,"Corporate and Auditing Accountability and Responsibility Act, On Motion to Recommit with Instructions"
Failed,0.014114955933629783,-0.051817745451499635,-386.0,-30.0,-208.0,178.0,"Department of Defense Authorization Act for FY 2003, On Motion to Recommit with Instructions"
Failed,0.012746111453972461,-0.050747321071581176,-390.0,-22.0,-206.0,184.0,", On Agreeing to the Amendment"
Failed,0.012546125840577025,-0.05544167754060284,-424.0,-12.0,-218.0,206.0,"Personal Responsibility, Work, and Family Promotion Act, On Motion to Recommit with Instructions"
Failed,0.014934529997691879,-0.05147561797958467,-382.0,-34.0,-208.0,174.0,", On Agreeing to the Amendment"
Failed,0.012276080227810264,-0.053335470559929495,-408.0,-14.0,-211.0,197.0,", On Agreeing to the Amendment"
Failed,0.012920384448825876,-0.05335649698103121,-409.0,-19.0,-214.0,195.0,", On Agreeing to the Amendment"
Failed,0.012500441900236364,-0.05414264305903982,-414.0,-14.0,-214.0,200.0,"2002 Supplemental Appropriations Act for Further Recovery From and Response To Terrorist Attacks on the United States, On Motion to Recommit with Instructions"
Failed,0.013237713397512275,-0.05504224573033314,-414.0,-18.0,-216.0,198.0,"Permanent Death Tax Repeal Act, On Motion to Recommit with Instructions"
Failed,0.01226162795496988,-0.052115779404580356,-397.0,-15.0,-206.0,191.0,", On Agreeing to the Amendment"
Failed,0.013272535966125376,-0.052643385147670994,-399.0,-21.0,-210.0,189.0,", On Agreeing to the Amendment"
Failed,0.012796612881739187,-0.055177347992804014,-421.0,-15.0,-218.0,203.0,"To amend title 31 of the United States Code to increase the public debt limit., Motion to Commit with Instructions"
Failed,0.01325019364573411,-0.05491127732818428,-421.0,-19.0,-220.0,201.0,"Medicare Modernization and Prescription Drug Act of 2002, On Motion to Recommit with Instructions"
Failed,0.012306663427348022,-0.0550841099163556,-415.0,-11.0,-213.0,202.0,"Corporate and Auditing Accountability and Responsibility Act, On Motion to Instruct Conferees"
Failed,0.012618909923352111,-0.0542041019202242,-405.0,-15.0,-210.0,195.0,", On Agreeing to the Amendment"
Failed,0.011136906989414773,-0.0554264839116906,-416.0,-2.0,-209.0,207.0,", On Agreeing to the Amendment"
Failed,0.012674126620412667,-0.05557001078223956,-418.0,-12.0,-215.0,203.0,", On Agreeing to the Amendment"
Failed,0.013821775928640635,-0.05037275461526459,-379.0,-33.0,-206.0,173.0,"Help Efficient, Accessible, Low Cost, Timely Healthcare Act of 2002, On Motion to Recommit with Instructions"
Failed,0.012275617469766197,-0.05407121170067779,-415.0,-13.0,-214.0,201.0,"Making further continuing appropriations for the fiscal year 2003, On Motion to Recommit with Instructions"
Failed,0.012798363647891225,-0.05278658811453375,-405.0,-21.0,-213.0,192.0,"Making further continuing appropriations for the fiscal year 2003, and for other purposes., On Motion to Recommit with Instructions"
Failed,0.012229962902288043,-0.05408447673352674,-413.0,-13.0,-213.0,200.0,"Homeland Security Act, On Motion to Recommit with Instructions"
"
",>>>>>,Upper,Left,<<<<<,"
"
Hastert,-0.012843881797900669,0.055118446819931874,424.0,16.0,220.0,-204.0,", ELECTION OF SPEAKER"
Passed,-0.011982016258663807,0.054440541489496855,417.0,9.0,213.0,-204.0,"Adopting Rules for the One Hundred Seventh Congress, On Agreeing to the Resolution"
Passed,-0.01369367417809557,0.05355102806742245,409.0,23.0,216.0,-193.0,"Providing for consideration of S.J.Res. 6; Providing for Congressional Disapproval of the Rule Relating to Ergonomics, On Agreeing to the Resolution"
Passed,-0.01291476062362174,0.054390868635340955,414.0,16.0,215.0,-199.0,"Providing for consideration of H.R. 3; Economic Growth and Tax Relief Act of 2001, On Ordering the Previous Question"
Passed,-0.01243167048858269,0.054575470224005905,416.0,12.0,214.0,-202.0,"Providing for consideration of H.R. 3; Economic Growth and Tax Relief Act of 2001, Table Motion to Reconsider"
Passed,-0.012992935705982702,0.054489956005442874,416.0,16.0,216.0,-200.0,"Providing for consideration of H.R. 3; Economic Growth and Tax Relief Act of 2001, On Agreeing to the Resolution"
Passed,-0.013639784422695072,0.05344193242143491,406.0,24.0,215.0,-191.0,"Providing for consideration of H.R. 3; Economic Growth and Tax Relief Act of 2001, Table Motion to Reconsider"
Agreed to,-0.01431792468597214,0.05286408257208986,401.0,31.0,216.0,-185.0,", Table Motion to Reconsider"
Passed,-0.014610795375420142,0.053561986459525576,407.0,33.0,220.0,-187.0,"Economic Growth and Tax Relief Act of 2001, On Passage"
Passed,-0.01304580141107689,0.054402346626197653,416.0,18.0,217.0,-199.0,"Congressional Budget for Fiscal Year 2002, On Agreeing to the Resolution"
Passed,-0.012407013002435206,0.05338407570229089,410.0,14.0,212.0,-198.0,"Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, On Agreeing to the Resolution"
Passed,-0.012340806154045968,0.055234502736079424,422.0,10.0,216.0,-206.0,"Waiving Points of Order Against the Conference Report on H. Con. Res. 83, Congressional Budget for FY 2001, On Agreeing to the Resolution"
Passed,-0.012792129411043764,0.054234993384963126,409.0,15.0,212.0,-197.0,"Congressional Budget for Fiscal Year 2002, On Agreeing to the Conference Report"
Passed,-0.01418216685187111,0.05119794928560497,388.0,34.0,211.0,-177.0,"Providing for consideration of H.R. 1646; Foreign Relations Authorization Act, On Agreeing to the Resolution"
Passed,-0.012483495251482657,0.05493551060141266,421.0,13.0,217.0,-204.0,"Providing for the Consideration of H.R. 1836, Economic Growth and Tax Relief Reconciliation Act, On Agreeing to the Resolution"
Passed,-0.01459948689903141,0.052897754418784346,400.0,34.0,217.0,-183.0,"Economic Growth and Tax Relief Reconciliation Act, On Passage"
Passed,-0.01276594831851527,0.05409392739954952,416.0,18.0,217.0,-199.0,"Providing for the Consideration of H.R. 1, No Child Left Behind Act, On Agreeing to the Resolution"
Agreed to,-0.011735111187610673,0.054890538500864894,410.0,8.0,209.0,-201.0,", On Agreeing to the Amendment"
Passed,-0.013928947010305693,0.04959000867927502,382.0,36.0,209.0,-173.0,"Waiving points of order against the conference report to accompany H.R. 1836, Economic Growth and Tax Relief Act of 2001, On Agreeing to the Resolution"
Passed,-0.012987549116887261,0.05487961139879737,419.0,17.0,218.0,-201.0,"Providing for consideration of H.R. 2216; 2001 Supplemental Appropriations Act, On Ordering the Previous Question"
Passed,-0.012894162597026174,0.05451403092503826,416.0,18.0,217.0,-199.0,"Providing for consideration of H.R. 2216; 2001 Supplemental Appropriations Act, On Agreeing to the Resolution"
Passed,-0.01270530770010751,0.05375483024128853,407.0,17.0,212.0,-195.0,"Providing for the consideration of H.R. 2299, Transportation and Related Agencies Appropriations for FY 2002, On the Question of Consideration"
Passed,-0.012562745919932715,0.0549560998991942,420.0,14.0,217.0,-203.0,"Providing for the consideration of H.R. 2299, Transportation and Related Agencies Appropriations for FY 2002, On Agreeing to the Resolution"
Passed,-0.013356468495475868,0.05129596845610656,392.0,28.0,210.0,-182.0,"Providing for consideration of H.R. 2330; Agriculture Appropriations for F.Y. 2002, On Agreeing to the Resolution"
Passed,-0.014071728430194505,0.05349663504745452,403.0,29.0,216.0,-187.0,"Providing for consideration of H.R. 7; The Community Solutions Act, On Ordering the Previous Question"
Passed,-0.015265891837504616,0.05259874929979676,397.0,39.0,218.0,-179.0,"Providing for consideration of H.R. 7; The Community Solutions Act, On Agreeing to the Resolution"
Passed,-0.014826398877667863,0.0524098439526922,392.0,36.0,214.0,-178.0,"The Community Solutions Act, On Passage"
Passed,-0.012700911285383282,0.05352380328849962,406.0,16.0,211.0,-195.0,"Waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules., On Agreeing to the Resolution"
Passed,-0.012783559653582563,0.05501369979763102,418.0,16.0,217.0,-201.0,"Providing for consideration of H.R. 2620; Departments of Veterans Affairs and Housing and Urban Development Appropriations for Fiscal Year 2002, On Ordering the Previous Question"
Passed,-0.012716322606693356,0.055746034956281526,425.0,13.0,219.0,-206.0,"Providing for consideration of H.R. 4; Securing America’s Future Energy Act, On Ordering the Previous Question"
Passed,-0.012756945233828282,0.055307390072553156,422.0,14.0,218.0,-204.0,"Providing for consideration of H.R. 4; Securing America’s Future Energy Act, On Agreeing to the Resolution"
Passed,-0.013001643129535688,0.05519101211589692,421.0,17.0,219.0,-202.0,"Providing for consideration of H.R. 2563; Bipartisan Patient Protection Act, On Ordering the Previous Question"
Passed,-0.013096343963616133,0.055451468772782876,423.0,17.0,220.0,-203.0,"Providing for consideration of H.R. 2563; Bipartisan Patient Protection Act, On Agreeing to the Resolution"
Agreed to,-0.01525923840242501,0.051679527690040764,388.0,42.0,215.0,-173.0,", On Agreeing to the Amendment"
Agreed to,-0.011590205518548403,0.05522737539600994,412.0,6.0,209.0,-203.0,", On Agreeing to the Amendment"
Passed,-0.01369241463009168,0.05489775099501837,418.0,24.0,221.0,-197.0,"Bipartisan Patient Protection Act, On Passage"
Passed,-0.012250020039004082,0.05329564021789738,401.0,11.0,206.0,-195.0,"Waiving the Requirement of Clause 6(e) of Rule XIII with Respect to Consideration of Certain Resolutions Reported from the Committee on Rules, On Agreeing to the Resolution"
Passed,-0.01221114114412257,0.05520202801711581,416.0,8.0,212.0,-204.0,"Providing for consideration of H.R. 2975; To Combat Terrorism, On Ordering the Previous Question"
Passed,-0.011712374507029815,0.05439134916244939,408.0,6.0,207.0,-201.0,"Providing for consideration of H.R. 2975; To Combat Terrorism, On Agreeing to the Resolution"
Passed,-0.012779644827702965,0.05549678969645281,420.0,12.0,216.0,-204.0,"Providing for the consideration of H.R. 3090; To provide tax incentives for economic recovery, On Ordering the Previous Question"
Passed,-0.013948298018818002,0.05278749760942581,402.0,26.0,214.0,-188.0,"Providing for the consideration of H.R. 3090; To provide tax incentives for economic recovery, On Agreeing to the Resolution"
Passed,-0.011359683240648382,0.05505716725953372,409.0,3.0,206.0,-203.0,"To Provide Tax Incentives for Economic Recovery, On Passage"
Passed,-0.012463744508824714,0.05513126388363419,417.0,11.0,214.0,-203.0,"Providing for consideration of H.R. 3150; Aviation Security Act, On Ordering the Previous Question"
Agreed to,-0.013420760091507247,0.05219941998722195,387.0,21.0,204.0,-183.0,", On Agreeing to the Amendment"
Passed,-0.011656799101812871,0.05475552857544895,415.0,5.0,210.0,-205.0,"Providing for consideration of H.R. 3338; Department of Defense Appropriations for Fiscal Year 2002, On Agreeing to the Resolution"
Passed,-0.013054506087635663,0.05502306836983707,418.0,16.0,217.0,-201.0,"Providing for the consideration of H.R. 3210, Terrorism Risk Protection Act, On Ordering the Previous Question"
Passed,-0.012613798351033191,0.05392693630116821,410.0,14.0,212.0,-198.0,"Providing for the consideration of H.R. 3210, Terrorism Risk Protection Act, On Agreeing to the Resolution"
Passed,-0.013653606884276165,0.05384447939532661,410.0,22.0,216.0,-194.0,"Providing for the Consideration of H.R. 3005, Bipartisan Trade Promotion Authority Act, On Agreeing to the Resolution"
Passed,-0.01385045483943685,0.04992405003663758,376.0,30.0,203.0,-173.0,"Providing for consideration of H.R. 3295; Help America Vote Act, On Agreeing to the Resolution"
Passed,-0.013263747091285465,0.053852424892012016,409.0,21.0,215.0,-194.0,"Providing for consideration of H.R. 3529; to provide tax incentives for economic recovery and assistance to displaced workers, On Agreeing to the Resolution"
Passed,-0.014163608262145874,0.052432976840694236,394.0,32.0,213.0,-181.0,"Economic Security and Worker Assistance Act, On Passage"
Passed,-0.011963174468042733,0.054275518926106235,414.0,8.0,211.0,-203.0,"Providing for the Consideration of Motions to Suspend the Rules, On Ordering the Previous Question"
