Foley,0.044791782620390554,0.03209696438548673,-426.0,96.0,-165.0,261.0,", ELECTION OF SPEAKER"
Passed,0.04300252006928794,0.031522609448454815,-410.0,86.0,-162.0,248.0,"RULES FOR THE 102ND CONGRESS, On Ordering the Previous Question"
Failed,-0.043889163930986574,-0.03088931322289232,416.0,-94.0,161.0,-255.0,"RULES FOR THE 102ND CONGRESS, COMMIT WITH INSTRUCTIONS"
Passed,0.041562187688669046,0.030581599819400115,-402.0,80.0,-161.0,241.0,"RULES FOR THE 102ND CONGRESS, On Agreeing to the Resolution"
Passed,0.03507106256379599,-0.004258956100241911,-221.0,193.0,-14.0,207.0,", On Approving the Journal"
Passed,0.043876149728525514,0.013541197745766956,-341.0,169.0,-86.0,255.0,"TO EXPRESS THE SENSE OF CONGRESS THAT CONGRESS MUST APPROVE ANY OFFENSIVE MILITARY ACTION AGAINST IRAQ, ON AGREEING TO THE RESOLUTION (BENNETT/DURBIN)"
Failed,0.0219645478321054,0.047127164061954586,-255.0,-69.0,-162.0,93.0,"REGARDING UNITED STATES POLICY TO REVERSE IRAQ’S OCCUPATION OF KUWAIT, ON AGREEING TO THE RESOLUTION (GEPHARDT/HAMILTON)"
Passed,-0.021894588709169282,-0.04729800538857625,255.0,69.0,162.0,-93.0,"TO AUTHORIZE THE USE OF UNITED STATES ARMED FORCES PURSUANT TO UNITED NATIONS SECURITY COUNCIL RESOLUTION 678, ON PASSAGE (MICHEL/SOLARZ)"
Passed,0.031711185957966626,-0.05237120605225623,-82.0,394.0,156.0,238.0,"SUPPORTING THE UNITED STATES PRESENCE IN THE PERSIAN GULF, SUSPEND THE RULES AND AGREE"
Passed,0.03373394331040232,-0.053643659472155464,-87.0,415.0,164.0,251.0,"CONDEMNING THE IRAQI ATTACK AGAINST ISRAEL, SUSPEND THE RULES AND AGREE"
Passed,0.034043382018428735,-0.053551802744870515,-89.0,417.0,164.0,253.0,"CONDEMNING THE TREATMENT BY THE GOVERNMENT OF IRAQ OF CAPTURED SERVICE MEMBERS OF THE U.S. AND ITS ALLIES IN THE PERSIAN GULF CONFLICT, SUSPEND THE RULES AND AGREE"
