Pelosi,-0.019809728324504325,0.035681216171963945,-429.0,81.0,-174.0,255.0,", Election of the Speaker"
Failed,0.019425655455530072,-0.03554411288737744,423.0,-75.0,174.0,-249.0,"Adopting rules for the One Hundred Eleventh Congress, On Motion to Commit with Instructions"
Passed,-0.018055737468607592,0.035413253917367195,-411.0,61.0,-175.0,236.0,"Adopting rules for the One Hundred Eleventh Congress, On Agreeing to the Resolution"
Passed,-0.027503431304243365,0.0003076376392261809,-189.0,301.0,56.0,245.0,"Presidential Records Act Amendments, On Motion to Suspend the Rules and Pass"
Passed,-0.029410465749088094,-0.008611170100741356,-137.0,357.0,110.0,247.0,"Presidential Library Donation Reform Act, On Motion to Suspend the Rules and Pass"
Failed,0.018036409290074513,-0.03547480145014788,398.0,-62.0,168.0,-230.0,"Paycheck Fairness Act, On Motion to Recommit with Instructions"
Passed,-0.020041233256612816,0.032729471606044454,-393.0,93.0,-150.0,243.0,"Paycheck Fairness Act, On Passage"
Passed,-0.018878955916892568,0.03429835039899059,-402.0,76.0,-163.0,239.0,"Lilly Ledbetter Fair Pay Act of 2009, On Passage"
Passed,-0.027590423461512772,-0.019144652130387428,-51.0,385.0,167.0,218.0,"Recognizing Israel’s right to defend itself against attacks from Gaza, reaffirming the United States’ strong support for Israel, and supporting the Israeli-Palestinian peace process, On Motion to Suspend the Rules and Agree"
Passed,-0.03025837432590797,-0.01795208932309063,-77.0,411.0,167.0,244.0,"Supporting the goals and ideals of National Mentoring Month 2009, On Motion to Suspend the Rules and Agree"
Passed,-0.030452589963868806,-0.01835569075580688,-75.0,415.0,170.0,245.0,"Honoring the life of Claiborne Pell, distinguished former Senator from the State of Rhode Island, On Motion to Suspend the Rules and Agree"
Passed,-0.030539364629769805,-0.018126612162567102,-77.0,415.0,169.0,246.0,"Recognizing the efforts of those who serve their communities on Martin Luther King Day and promoting the holiday as a day of national service, On Motion to Suspend the Rules and Agree"
Passed,-0.01865881903467049,0.035952183109852154,-416.0,66.0,-175.0,241.0,"Providing for consideration of H.R. 2, to amend title XXI of the Social Security Act to extend and improve the Children’s Health Insurance Program, and for other purposes, On Agreeing to the Resolution"
Failed,0.018832910577968844,-0.03570107970265409,410.0,-68.0,171.0,-239.0,"Children’s Health Insurance Program Reauthorization Act of 2009, On Motion to Recommit with Instructions"
Passed,-0.022832541464829128,0.025010144481664623,-344.0,150.0,-97.0,247.0,"Children’s Health Insurance Program Reauthorization Act of 2009, On Passage"
Passed,-0.016836323667702807,0.036531056456748034,-396.0,44.0,-176.0,220.0,"Providing for consideration of H.R. 384, to reform the Troubled Assets Relief Program of the Secretary of the Treasury and ensure accountability under such program, On Agreeing to the Resolution"
Passed,-0.030789852941991137,-0.018731767826658724,-75.0,423.0,174.0,249.0,"Amending the Rules of the House of Representatives to require each standing committee to hold periodic hearings on the topic of waste, fraud, abuse, or mismanagement in Government programs which that committee may authorize, and for other purposes, On Motion to Suspend the Rules and Agree, as Amended"
Agreed to,-0.020502574584196274,0.026613616392498554,-339.0,121.0,-109.0,230.0,", On Agreeing to the Amendment"
Failed,0.020884465628615533,-0.028329614291990022,366.0,-120.0,123.0,-243.0,", On Agreeing to the Amendment"
Failed,0.021963687027770344,-0.02680554959892026,358.0,-136.0,111.0,-247.0,", On Agreeing to the Amendment"
