Boehner,0.032482320179977896,0.006387083247926802,432.0,50.0,241.0,-191.0,", Election of the Speaker"
Passed,0.03072353776222678,0.007923996467483329,411.0,35.0,223.0,-188.0,"Adopting rules for the One Hundred Twelfth Congress, On Motion to Table"
Passed,0.0318594936359326,0.006583815692702612,424.0,48.0,236.0,-188.0,"Adopting rules for the One Hundred Twelfth Congress, On Ordering the Previous Question"
Failed,-0.03224299188654718,-0.006706915656341557,-429.0,-47.0,-238.0,191.0,"Adopting rules for the One Hundred Twelfth Congress, On Motion to Commit"
Passed,0.03224323508238934,0.0067576739702550764,429.0,47.0,238.0,-191.0,"Adopting rules for the One Hundred Twelfth Congress, On Agreeing to the Resolution"
Passed,0.008723522058661023,-0.05386581909240819,67.0,395.0,231.0,164.0,"Reducing the amount authorized for salaries and expenses of Member, committee, and leadership offices in 2011 and 2012., On Motion to Suspend the Rules and Agree"
Passed,0.031496932552233306,0.005186628553129189,414.0,54.0,234.0,-180.0,"Providing for consideration of H.R. 2, to repeal the job-killing health care law and health care-related provisions in the Health Care and Education Reconciliation Act of 2010; and providing for consideration of H.Res. 9, instructing certain committees to report legislation replacing the job-killing health care law, On Ordering the Previous Question"
Passed,0.03139124725298119,0.004873274109884996,409.0,55.0,232.0,-177.0,"Providing for consideration of H.R. 2, to repeal the job-killing health care law and health care-related provisions in the Health Care and Education Reconciliation Act of 2010; and providing for consideration of H.Res. 9, instructing certain committees to report legislation replacing the job-killing health care law, On Agreeing to the Resolution"
Passed,0.029146195694348745,-0.003370473138823872,362.0,98.0,230.0,-132.0,"Relating to the status of certain actions taken by Members-elect, On Agreeing to the Resolution"
Passed,0.00850495385488329,-0.053756886256750964,69.0,399.0,234.0,165.0,"Stop the OverPrinting (STOP) Act, On Motion to Suspend the Rules and Pass, as Amended"
Failed,-0.03220378235320908,-0.004564737381766109,-420.0,-60.0,-240.0,180.0,"Repealing the Job-Killing Health Care Law Act, On Motion to Recommit with Instructions"
Passed,0.032702927857318834,0.00555345758985001,429.0,55.0,242.0,-187.0,"Repealing the Job-Killing Health Care Law Act, On Passage"
Agreed to,0.007531609615806231,-0.05794857856974083,53.0,427.0,240.0,187.0,", On Agreeing to the Amendment"
Passed,0.031936131618693624,0.001135944038420838,400.0,78.0,239.0,-161.0,"Instructing certain committees to report legislation replacing the job-killing health care law, On Agreeing to the Resolution"
Passed,0.031109043245507634,0.0035840557519366822,400.0,64.0,232.0,-168.0,"Providing for consideration of the resolution (H.Res. 38) to reduce spending through a transition to non-security spending at fiscal year 2008 levels, On Ordering the Previous Question"
Passed,0.030718645198953582,0.0022068596178686124,392.0,72.0,232.0,-160.0,"Providing for consideration of the resolution (H.Res. 38) to reduce spending through a transition to non-security spending at fiscal year 2008 levels, On Agreeing to the Resolution"
Failed,-0.03177629725336605,-0.005012975539772602,-418.0,-58.0,-238.0,180.0,"To reduce spending through a transition to non-security spending at fiscal year 2008 levels, On Motion to Recommit with Instructions"
Passed,0.031167369253146414,-0.0007737051979642377,387.0,91.0,239.0,-148.0,"To reduce spending through a transition to non-security spending at fiscal year 2008 levels, On Agreeing to the Resolution"
Passed,0.00742965715878769,-0.0576539764901779,52.0,424.0,238.0,186.0,"Providing Capitol-flown flags for recipients of the Medal of Honor, On Motion to Suspend the Rules and Agree"
Passed,0.030841796580132204,0.005133449209873878,408.0,56.0,232.0,-176.0,"Providing for consideration of H.R. 359, to reduce Federal spending and the deficit by terminating taxpayer financing of presidential election campaigns and party conventions, On Ordering the Previous Question"
Agreed to,0.00906734475832141,-0.05203873137232083,75.0,389.0,232.0,157.0,", On Agreeing to the Amendment"
Failed,-0.030263618725064247,-0.004687091167630112,-397.0,-55.0,-226.0,171.0,"To reduce Federal spending and the deficit by terminating taxpayer financing of presidential election campaigns and party conventions, On Motion to Recommit with Instructions"
Passed,0.03003503874150807,0.0004012875590139225,378.0,78.0,228.0,-150.0,"To reduce Federal spending and the deficit by terminating taxpayer financing of presidential election campaigns and party conventions, On Passage"
Failed,0.021151897459983478,-0.014747040345477106,238.0,130.0,184.0,-54.0,"To extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004 relating to access to business records, individual terrorists as agents of foreign powers, and roving wiretaps until December 8, 2011, On Motion to Suspend the Rules and Pass"
Passed,0.007077389281898987,-0.05836574942512944,47.0,429.0,238.0,191.0,"To designate the United States courthouse under construction at 98 West First Street, Yuma, Arizona, as the “John M. Roll United States Courthouse”, On Motion to Suspend the Rules and Pass"
Failed,0.030564485123094613,-0.0009948578895730494,378.0,90.0,234.0,-144.0,"United Nations Tax Equalization Refund Act, On Motion to Suspend the Rules and Pass"
Passed,0.03071231143428452,0.00114627550723837,386.0,72.0,229.0,-157.0,"Providing for consideration of H.R. 514, to extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004, On Agreeing to the Resolution"
Passed,0.03162092144697477,0.004556857908425967,408.0,60.0,234.0,-174.0,"Providing for consideration of H. Res. 72, directing certain standing committees to inventory and review existing, pending, and proposed regulations and orders from agencies of the Federal Government, particularly with respect to their effect on jobs and economic growth, On Ordering the Previous Question"
Passed,0.030897295388359787,-0.0004215601085234041,388.0,86.0,237.0,-151.0,"Providing for consideration of H. Res. 72, directing certain standing committees to inventory and review existing, pending, and proposed regulations and orders from agencies of the Federal Government, particularly with respect to their effect on jobs and economic growth, On Agreeing to the Resolution"
Failed,-0.031779269731788934,-0.0039562399091734885,-414.0,-64.0,-239.0,175.0,"Directing certain standing committees to inventory and review existing, pending, and proposed regulations and orders from agencies of the Federal Government, particularly with respect to their effect on jobs and economic growth, On Motion to Recommit with Instructions"
Passed,0.012068999514109764,-0.0488101250030256,113.0,363.0,238.0,125.0,"Directing certain standing committees to inventory and review existing, pending, and proposed regulations and orders from agencies of the Federal Government, particularly with respect to their effect on jobs and economic growth, On Agreeing to the Resolution"
Passed,0.013501816812765159,-0.03847747685582482,148.0,294.0,221.0,73.0,", On Approving the Journal"
Failed,-0.03165750729195426,-0.006192887457319269,-416.0,-48.0,-232.0,184.0,"To extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004 relating to access to business records, individual terrorists as agents of foreign powers, and roving wiretaps until December 8, 2011, On Motion to Recommit with Instructions"
Passed,0.020859714589729073,-0.015245571573022145,234.0,132.0,183.0,-51.0,"To extend expiring provisions of the USA PATRIOT Improvement and Reauthorization Act of 2005 and Intelligence Reform and Terrorism Prevention Act of 2004 relating to access to business records, individual terrorists as agents of foreign powers, and roving wiretaps until December 8, 2011, On Passage"
Passed,0.011916025301614808,-0.038835289362592125,127.0,293.0,210.0,83.0,", On Approving the Journal"
Passed,0.03162335374111102,0.004332836379500571,415.0,61.0,238.0,-177.0,"Providing for consideration of H.R. 1, making appropriations for the Department of Defense and other departments and agencies of the Government for the fiscal year ending September 30, 2011, and for other purposes, On Ordering the Previous Question"
Passed,0.03118319072862495,0.002480962769130175,400.0,68.0,234.0,-166.0,"Providing for consideration of H.R. 1, making appropriations for the Department of Defense and other departments and agencies of the Government for the fiscal year ending September 30, 2011, and for other purposes, On Agreeing to the Resolution"
Passed,0.03056771440246373,0.002853493685182062,397.0,67.0,232.0,-165.0,"Adjournment Resolution, On Agreeing to the Resolution"
Failed,-0.007941577371341246,0.004873010168563011,-96.0,-16.0,-56.0,40.0,", On Agreeing to the Amendment"
Failed,0.004099098097829524,0.04656536684967037,90.0,-286.0,-98.0,-188.0,", On Agreeing to the Amendment"
Failed,-0.01749853082028122,0.029133634300752876,-191.0,-221.0,-206.0,-15.0,", On Agreeing to the Amendment"
Failed,0.009585911588425006,0.03874079425712189,149.0,-211.0,-31.0,-180.0,", On Agreeing to the Amendment"
