Boehner,-0.02922694898919777,0.004836111866541515,360.0,24.0,192.0,-168.0,", Election of the Speaker"
Passed,-0.03172020172355729,0.0006494986164950521,390.0,70.0,230.0,-160.0,"Adopting rules for the One Hundred Fourteenth Congress, Table Motion to Refer"
Passed,-0.033043526080006255,0.0008422914971911244,405.0,71.0,238.0,-167.0,"Adopting rules for the One Hundred Fourteenth Congress, On Ordering the Previous Question"
Failed,0.0330594381545956,-0.00022162918024912405,-403.0,-75.0,-239.0,164.0,"Adopting rules for the One Hundred Fourteenth Congress, On Motion to Commit with Instructions"
Passed,-0.03243811354670621,0.001464811398085291,398.0,62.0,230.0,-168.0,"Adopting rules for the One Hundred Fourteenth Congress, On Agreeing to the Resolution"
Passed,-0.007412061614305767,-0.0585246043972144,68.0,412.0,240.0,172.0,"Hire More Heroes Act of 2015, On Motion to Suspend the Rules and Pass"
Passed,-0.006308796542255293,-0.05963965343445414,53.0,411.0,232.0,179.0,"Terrorism Risk Insurance Program Reauthorization Act, On Motion to Suspend the Rules and Pass"
Failed,-0.029567198686443173,-0.010225696673890365,350.0,130.0,240.0,-110.0,"Promoting Job Creation and Reducing Small Business Burdens Act, On Motion to Suspend the Rules and Pass"
Passed,-2.4683163311636845e-05,-0.053391711060267875,-18.0,342.0,162.0,180.0,"National Windstorm Impact Reduction Act Reauthorization, On Motion to Suspend the Rules and Pass"
Passed,-0.03402669453328165,0.002937297625222712,418.0,60.0,239.0,-179.0,"Providing for consideration of the bill (H.R. 3) to approve the Keystone XL Pipeline, and providing for consideration of the bill (H.R. 30) the “Save American Workers Act of 2015”, On Ordering the Previous Question"
Passed,-0.03431746856843488,0.0024478299871727046,419.0,63.0,241.0,-178.0,"Providing for consideration of the bill (H.R. 3) to approve the Keystone XL Pipeline, and providing for consideration of the bill (H.R. 30) the “Save American Workers Act of 2015”, On Agreeing to the Resolution"
Failed,0.034005599247124645,-0.001990638642344793,-415.0,-65.0,-240.0,175.0,"Save American Workers Act of 2015, On Motion to Recommit with Instructions"
Passed,-0.03327007582429383,-0.0009312408693974439,400.0,80.0,240.0,-160.0,"Save American Workers Act of 2015, On Passage"
Failed,0.03390968163131883,-0.003340557314390348,-417.0,-57.0,-237.0,180.0,"Keystone XL Pipeline Act, On Motion to Recommit with Instructions"
Passed,-0.030537574640771125,-0.007070133968801863,363.0,113.0,238.0,-125.0,"Keystone XL Pipeline Act, On Passage"
Passed,-0.007144484172044235,-0.05745742203191359,65.0,403.0,234.0,169.0,"Clay Hunt Suicide Prevention for American Veterans Act, On Motion to Suspend the Rules and Pass"
Passed,-0.00697205001710807,-0.05719848985876381,63.0,401.0,232.0,169.0,"Protecting Volunteer Firefighters and Emergency Responders Act, On Motion to Suspend the Rules and Pass"
Passed,-0.0029040779051097464,-0.018902199576297348,25.0,129.0,77.0,52.0,", On Approving the Journal"
Passed,-0.03437850942212268,0.0029002304944169893,423.0,61.0,242.0,-181.0,"Providing for consideration of H.R. 37, the Promoting Job Creation and Reducing Small Business Burdens Act; H.R. 185, the Regulatory Accountability Act of 2015; and H.R. 240, Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes, On Ordering the Previous Question"
Passed,-0.0342198069701912,0.002649685638174113,420.0,62.0,241.0,-179.0,"Providing for consideration of H.R. 37, the Promoting Job Creation and Reducing Small Business Burdens Act; H.R. 185, the Regulatory Accountability Act of 2015; and H.R. 240, Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes, On Agreeing to the Resolution"
Passed,-0.003012676522260918,-0.01444560121548581,29.0,101.0,65.0,36.0,", On Approving the Journal"
Agreed to,-0.032912205646486455,-0.0018802813102561523,396.0,86.0,241.0,-155.0,", On Agreeing to the Amendment"
Failed,0.03376718227947161,-0.0012577286756468103,-411.0,-69.0,-240.0,171.0,", On Agreeing to the Amendment"
Failed,0.033902397775484386,-0.0006741334164770487,-411.0,-73.0,-242.0,169.0,", On Agreeing to the Amendment"
Failed,0.03402450108003209,-0.0012238313351985793,-412.0,-70.0,-241.0,171.0,", On Agreeing to the Amendment"
Failed,0.03444530762132671,-0.0021933563971873377,-421.0,-65.0,-243.0,178.0,"To reform the process by which Federal agencies analyze and formulate new regulations and guidance documents., On Motion to Recommit with Instructions"
Passed,-0.03389035150673415,0.00020014542284409602,409.0,75.0,242.0,-167.0,"To reform the process by which Federal agencies analyze and formulate new regulations and guidance documents., On Passage"
Agreed to,-0.033685089729750345,0.005183730316749218,413.0,47.0,230.0,-183.0,", On Agreeing to the Amendment"
Agreed to,-0.03084892058727679,0.011029364222780636,375.0,9.0,192.0,-183.0,", On Agreeing to the Amendment"
Agreed to,-0.029814635894068884,-0.009709119603612556,355.0,129.0,242.0,-113.0,", On Agreeing to the Amendment"
Agreed to,-0.03262075888464903,-0.0012607451920722318,392.0,82.0,237.0,-155.0,", On Agreeing to the Amendment"
Agreed to,-0.03254315514710249,-0.003412548344517965,391.0,93.0,242.0,-149.0,", On Agreeing to the Amendment"
Failed,0.034760403250073964,-0.0031488349271837253,-428.0,-60.0,-244.0,184.0,"Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes, On Motion to Recommit with Instructions"
Passed,-0.033148129641357695,0.00467464323103017,403.0,45.0,224.0,-179.0,"Making appropriations for the Department of Homeland Security for the fiscal year ending September 30, 2015, and for other purposes, On Passage"
Failed,0.034493907802090294,-0.002983602070068518,-423.0,-59.0,-241.0,182.0,"Promoting Job Creation and Reducing Small Business Burdens Act, On Motion to Recommit with Instructions"
Passed,-0.03062491524217861,-0.007891389377308343,365.0,117.0,241.0,-124.0,"Promoting Job Creation and Reducing Small Business Burdens Act, On Passage"
Passed,-0.03411845549323747,0.0034599882802574715,420.0,56.0,238.0,-182.0,"Providing for consideration of H.R. 161, the Natural Gas Pipeline Permitting Reform Act; and providing for consideration of H.R. 36, the Pain-Capable Unborn Child Protection Act, On Ordering the Previous Question"
Passed,-0.0340218911523179,0.0032294280114671206,417.0,57.0,237.0,-180.0,"Providing for consideration of H.R. 161, the Natural Gas Pipeline Permitting Reform Act; and providing for consideration of H.R. 36, the Pain-Capable Unborn Child Protection Act, On Agreeing to the Resolution"
Failed,0.034155027788091985,-0.0029237382304690427,-419.0,-59.0,-239.0,180.0,"Natural Gas Pipeline Permitting Reform Act, On Motion to Recommit with Instructions"
Passed,-0.03276476248268294,-0.0017394409663227728,394.0,84.0,239.0,-155.0,"Natural Gas Pipeline Permitting Reform Act, On Passage"
Passed,-0.03429906701123877,0.0036188726943681042,422.0,56.0,239.0,-183.0,"Providing for consideration of the bill (H.R. 7) to prohibit taxpayer funded abortions, On Ordering the Previous Question"
Passed,-0.034083823834557235,0.002417799157574855,417.0,63.0,240.0,-177.0,"Providing for consideration of the bill (H.R. 7) to prohibit taxpayer funded abortions, On Agreeing to the Resolution"
Failed,0.033791864662988405,-0.0024761849016295442,-415.0,-63.0,-239.0,176.0,"To prohibit taxpayer funded abortions., On Motion to Recommit with Instructions"
Passed,-0.03391372778571144,0.0022977927164807613,413.0,63.0,238.0,-175.0,"To prohibit taxpayer funded abortions., On Passage"
Passed,-0.0328352007839664,0.0004366246728212828,400.0,72.0,236.0,-164.0,"Providing for consideration of the bill (H.R. 351) to provide for expedited approval of exportation of natural gas, and for other purposes, On Agreeing to the Resolution"
Passed,-0.006980925847838596,-0.0585870258890891,62.0,410.0,236.0,174.0,"Strengthening Child Welfare Response to Trafficking Act of 2015, On Motion to Suspend the Rules and Pass"
Passed,-0.007066520464445989,-0.05873323258386605,63.0,411.0,237.0,174.0,"To improve the response to victims of child sex trafficking, On Motion to Suspend the Rules and Pass"
Failed,0.03335781175856196,-0.0023967391309849847,-410.0,-62.0,-236.0,174.0,"LNG Permitting Certainty and Transparency Act, On Motion to Recommit with Instructions"
Passed,-0.027800296290001678,-0.012704932349974156,326.0,144.0,235.0,-91.0,"LNG Permitting Certainty and Transparency Act, On Passage"
Passed,-0.006931572450698639,-0.05381392630005907,63.0,375.0,219.0,156.0,"Medical Preparedness Allowable Use Act, On Motion to Suspend the Rules and Pass"
Passed,-0.007208791524315142,-0.053792777550870724,67.0,379.0,223.0,156.0,"Department of Homeland Security Interoperable Communications Act, On Motion to Suspend the Rules and Pass"
Passed,0.0013233840834553986,-0.04471833522864682,-31.0,277.0,123.0,154.0,"Social Media Working Group Act, On Motion to Suspend the Rules and Pass"
Passed,-0.03397915250331772,0.0022516617556611793,418.0,66.0,242.0,-176.0,"Providing for consideration of the bill (H.R. 596) to repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010, and for other purposes, On Ordering the Previous Question"
Passed,-0.03413588676234318,0.0025910153622742474,420.0,64.0,242.0,-178.0,"Providing for consideration of the bill (H.R. 596) to repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010, and for other purposes, On Agreeing to the Resolution"
Passed,-0.003878402243732197,-0.016606530508567936,35.0,119.0,77.0,42.0,", On Approving the Journal"
Failed,0.03397470105900835,-0.002721311259307087,-418.0,-62.0,-240.0,178.0,"To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010, and for other purposes, On Motion to Recommit with Instructions"
Passed,-0.03410587639991156,0.0043222633909512035,419.0,53.0,236.0,-183.0,"To repeal the Patient Protection and Affordable Care Act and health care-related provisions in the Health Care and Education Reconciliation Act of 2010, and for other purposes, On Passage"
Passed,-0.03366145637702897,0.001857709145990098,414.0,68.0,241.0,-173.0,"Providing for consideration of the bill (H.R. 527) Small Business Regulatory Flexibility Improvements Act of 2015 and providing for consideration of the bill (H.R. 50) Unfunded Mandates Information and Transparency Act of 2015., On Ordering the Previous Question"
Passed,-0.03412243848014521,0.002361528663728854,416.0,64.0,240.0,-176.0,"Providing for consideration of the bill (H.R. 527) Small Business Regulatory Flexibility Improvements Act of 2015 and providing for consideration of the bill (H.R. 50) Unfunded Mandates Information and Transparency Act of 2015., On Agreeing to the Resolution"
Failed,0.03411318428443579,-0.0020186531543520806,-414.0,-66.0,-240.0,174.0,", On Agreeing to the Amendment"
Failed,0.03349070930900314,-0.00010015214750133086,-404.0,-76.0,-240.0,164.0,", On Agreeing to the Amendment"
Failed,0.034174353212014605,-0.0034664277289552453,-419.0,-55.0,-237.0,182.0,"Unfunded Mandates Information and Transparency Act of 2015, On Motion to Recommit with Instructions"
Passed,-0.03358190961410261,0.00012750436050193447,405.0,77.0,241.0,-164.0,"Unfunded Mandates Information and Transparency Act of 2015, On Passage"
Failed,0.03348535395948646,-0.0044805773850902075,-412.0,-50.0,-231.0,181.0,", On Agreeing to the Amendment"
Failed,0.033474159637565636,-0.00015573022782972923,-404.0,-76.0,-240.0,164.0,", On Agreeing to the Amendment"
Failed,0.034167780540380235,-0.0032144114153417813,-420.0,-58.0,-239.0,181.0,"Small Business Regulatory Flexibility Improvements Act of 2015, On Motion to Recommit with Instructions"
Passed,-0.03223639785486898,-0.0037841576312718063,385.0,97.0,241.0,-144.0,"Small Business Regulatory Flexibility Improvements Act of 2015, On Passage"
Passed,-0.006443777626931545,-0.05945454280521174,56.0,414.0,235.0,179.0,"TSA Office of Inspection Accountability Act of 2015, On Motion to Suspend the Rules and Pass"
Passed,-0.006240400940283692,-0.05899644300612426,54.0,410.0,232.0,178.0,"Gerardo Hernandez Airport Security Act of 2015, On Motion to Suspend the Rules and Pass"
Passed,-0.03454856745725387,0.003357315205919674,425.0,59.0,242.0,-183.0,"Providing for consideration of S. 1, the Keystone XL Pipeline Approval Act, On Ordering the Previous Question"
Passed,-0.03396992870128735,0.0011257291916566283,413.0,71.0,242.0,-171.0,"Providing for consideration of S. 1, the Keystone XL Pipeline Approval Act, On Agreeing to the Resolution"
Passed,-0.005177269638466991,-0.014524227702290412,53.0,107.0,80.0,27.0,", On Approving the Journal"
Failed,0.03401036539164614,-0.00266021173462543,-416.0,-60.0,-238.0,178.0,"Keystone XL Pipeline Approval Act, On Motion to Commit with Instructions"
Passed,-0.03049876245940173,-0.007816934433834221,362.0,118.0,240.0,-122.0,"Keystone XL Pipeline Approval Act, On Passage"
Passed,-0.006640995292788536,-0.05999873543614922,58.0,420.0,239.0,181.0,"To award a Congressional Gold Medal to the Foot Soldiers who participated in Bloody Sunday, Turnaround Tuesday, or the final Selma to Montgomery Voting Rights March in March of 1965, which served as a catalyst for the Voting Rights Act of 1965, On Motion to Suspend the Rules and Pass"
Passed,-0.032320731649210226,0.0010631422789538747,396.0,68.0,232.0,-164.0,"Providing for consideration of H.R. 644, the Fighting Hunger Incentive Act of 2015 and H.R. 636, to amend the Internal Revenue Code of 1986 to permanently extend increased expensing limitations, On Ordering the Previous Question"
Passed,-0.03218288572311628,0.0006789933255012876,394.0,70.0,232.0,-162.0,"Providing for consideration of H.R. 644, the Fighting Hunger Incentive Act of 2015 and H.R. 636, to amend the Internal Revenue Code of 1986 to permanently extend increased expensing limitations, On Agreeing to the Resolution"
Failed,0.032949561966798185,-6.008040840580519e-05,-405.0,-77.0,-241.0,164.0,"Fighting Hunger Incentive Act, On Motion to Recommit with Instructions"
Passed,-0.028419436608351903,-0.012647901633922787,336.0,142.0,239.0,-97.0,"Fighting Hunger Incentive Act, On Passage"
Failed,0.03331955639960402,-0.0013965926569755097,-410.0,-68.0,-239.0,171.0,"America’s Small Business Tax Relief Act of 2015, On Motion to Recommit with Instructions"
Passed,-0.02915169799919592,-0.010569406733586254,346.0,130.0,238.0,-108.0,"America’s Small Business Tax Relief Act of 2015, On Passage"
Passed,-0.00272582971136411,-0.010623130655131683,23.0,75.0,49.0,26.0,", On Approving the Journal"
