"
",>>>>>,Upper,Left,<<<<<,"
"
Ryan (WI),-0.037913457539032046,-0.004710463022300441,431.0,45.0,238.0,-193.0,", Election of the Speaker"
Passed,-0.03805702435443237,-0.004727270550620341,430.0,44.0,237.0,-193.0,"Adopting rules for the One Hundred Fifteenth Congress, On Ordering the Previous Question"
Passed,-0.0375366965082369,-0.004276406089590795,421.0,41.0,231.0,-190.0,"Adopting rules for the One Hundred Fifteenth Congress, On Agreeing to the Resolution"
Passed,-0.03744040792537264,-0.004020984655761728,419.0,47.0,233.0,-186.0,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes, On Ordering the Previous Question"
Passed,-0.03713326373850514,-0.004382517446711893,416.0,44.0,230.0,-186.0,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes, On Agreeing to the Resolution"
Agreed to,-0.036820954254840575,-0.005701184716730089,415.0,37.0,226.0,-189.0,", On Agreeing to the Amendment"
Passed,-0.03747725524018557,-0.0038405371168255776,420.0,50.0,235.0,-185.0,"Regulations from the Executive in Need of Scrutiny Act of 2017, On Passage"
Agreed to,-0.037489074086917665,-0.0041621268910881125,421.0,45.0,233.0,-188.0,", On Agreeing to the Amendment"
Passed,-0.037553888207014004,-0.0041129841162991145,423.0,47.0,235.0,-188.0,"Providing for consideration of S.Con.Res 3, setting forth the congressional budget for the United States Government for fiscal year 2017 and for other purposes; and S. 84, to provide for an exception to a limitation against appointment of persons as Secretary of Defense within 7 years of relief from active duty, On Agreeing to the Resolution"
Passed,-0.03743599404948992,-0.004390883015630991,420.0,46.0,233.0,-187.0,"Providing for consideration of the bill (H.R. 7) to prohibit taxpayer funded abortions, On Ordering the Previous Question"
