Pelosi,0.04200070764969961,0.0187862424013992,-406.0,10.0,-198.0,208.0,", Election of the Speaker"
Passed,0.044405125108619145,0.015364233825660783,-427.0,33.0,-197.0,230.0,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; providing for consideration of H.R. 21, making appropriations for the FY ending September 30, 2019, and for other purposes, On Motion to Table the Motion to Refer"
Passed,0.044772317698146394,0.015041290323068147,-430.0,36.0,-197.0,233.0,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes, On Ordering the Previous Question"
Failed,-0.04466787279999501,-0.015221338138921937,429.0,-35.0,197.0,-232.0,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes, On Motion to Commit with Instructions"
Passed,0.044622178161033685,0.014358768629569552,-428.0,40.0,-194.0,234.0,"Providing for consideration of H.Res. 6, adopting the Rules of the House of Representatives for the 116th Congress; H.R. 21, making appropriations for the FY ending September 30, 2019; H.J.Res. 1, making further continuing appropriations for the Department of Homeland Security for FY 2019, and for other purposes, On Agreeing to the Resolution"
Passed,0.04412437635169045,0.01408126649807664,-419.0,37.0,-191.0,228.0,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes, On Agreeing to Title I of the Resolution"
Failed,-0.04476473979274573,-0.015074992567481734,430.0,-36.0,197.0,-233.0,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes, On Motion to Recommit with Instructions"
Passed,0.044699313352569166,0.01257162852404992,-421.0,47.0,-187.0,234.0,"Making further continuing appropriations for the Department of Homeland Security for fiscal year 2019, and for other purposes, On Passage"
Failed,-0.04448227035351808,-0.01550510111842847,427.0,-33.0,197.0,-230.0,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes, On Motion to Recommit with Instructions"
Passed,0.04436187083476185,0.011606361460421998,-417.0,51.0,-183.0,234.0,"Making appropriations for the fiscal year ending September 30, 2019, and for other purposes, On Passage"
Passed,0.015810432321092964,-0.0642200729238406,-62.0,406.0,172.0,234.0,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes, On Agreeing to Title II of the Resolution"
Passed,0.016133577742614764,-0.061433622093285956,-70.0,384.0,157.0,227.0,"Pandemic and All-Hazards Preparedness and Advancing Innovation Act, On Motion to Suspend the Rules and Pass"
Passed,0.013391401785874509,-0.06560219429791889,-41.0,411.0,185.0,226.0,"Chemical Facility Anti-Terrorism Standards Program Extension Act, On Motion to Suspend the Rules and Pass"
Passed,0.0278405889302606,0.00023954855441169778,-248.0,74.0,-87.0,161.0,", On Approving the Journal"
Passed,0.04438354071265031,0.014902389554730187,-426.0,36.0,-195.0,231.0,"Providing for consideration of H.R. 264, H.R. 265, H.R. 266, and H.R. 267; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, On Ordering the Previous Question"
Passed,0.04438354071265057,0.014902389554730442,-426.0,36.0,-195.0,231.0,"Providing for consideration of H.R. 264, H.R. 265, H.R. 266, and H.R. 267; waiving a requirement of clause 6(a) of rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules, On Agreeing to the Resolution"
Passed,0.015319485261286393,-0.06420979658657706,-59.0,403.0,172.0,231.0,"Clarity on Small Business Participation in Category Management Act, On Motion to Suspend the Rules and Pass"
Passed,0.044367617864358604,0.0134166345840616,-421.0,43.0,-189.0,232.0,"Adopting the Rules of the House of Representatives for the One Hundred Sixteenth Congress, and for other purposes, On Agreeing to Title III of the Resolution"
Failed,-0.04248621656050516,-0.016659928632876384,407.0,-27.0,190.0,-217.0,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes, On Motion to Recommit with Instructions"
Passed,0.04401619024493593,0.011263196569754903,-412.0,52.0,-180.0,232.0,"Making appropriations for financial services and general government for the fiscal year ending September 30, 2019, and for other purposes, On Passage"
Failed,-0.043137545615861424,-0.015166785737641068,413.0,-35.0,189.0,-224.0,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes, On Motion to Recommit with Instructions"
Passed,0.0433477697867623,0.008635685966090465,-400.0,64.0,-168.0,232.0,"Making appropriations for the Department of Transportation, and Housing and Urban Development, and related agencies for the fiscal year ending September 30, 2019, and for other purposes, On Passage"
