Foley,2.170380463412728e-17,3.5887509028518135e-17,0.0,0.0,0.0,0.0,", ELECTION OF SPEAKER"
Passed,-8.516184575419556e-17,-1.5715662231188214e-15,0.0,0.0,0.0,0.0,"RULES FOR THE 102ND CONGRESS, On Ordering the Previous Question"
Failed,-4.957784516232852e-16,1.0913171119231074e-16,0.0,0.0,0.0,0.0,"RULES FOR THE 102ND CONGRESS, COMMIT WITH INSTRUCTIONS"
Passed,-3.659046268573419e-16,-1.7641243161465137e-16,0.0,0.0,0.0,0.0,"RULES FOR THE 102ND CONGRESS, On Agreeing to the Resolution"
Passed,1.3699144614537416e-16,1.4867179200043106e-16,0.0,0.0,0.0,0.0,", On Approving the Journal"
Passed,-1.654911018429057e-17,8.95348392804017e-17,0.0,0.0,0.0,0.0,"TO EXPRESS THE SENSE OF CONGRESS THAT CONGRESS MUST APPROVE ANY OFFENSIVE MILITARY ACTION AGAINST IRAQ, ON AGREEING TO THE RESOLUTION (BENNETT/DURBIN)"
Failed,-3.961690332169013e-17,-1.4144974215300778e-16,0.0,0.0,0.0,0.0,"REGARDING UNITED STATES POLICY TO REVERSE IRAQ’S OCCUPATION OF KUWAIT, ON AGREEING TO THE RESOLUTION (GEPHARDT/HAMILTON)"
Passed,-5.170884126275381e-17,-4.894693820637352e-17,0.0,0.0,0.0,0.0,"TO AUTHORIZE THE USE OF UNITED STATES ARMED FORCES PURSUANT TO UNITED NATIONS SECURITY COUNCIL RESOLUTION 678, ON PASSAGE (MICHEL/SOLARZ)"
Passed,-9.504403773616698e-17,1.4027026002535578e-16,0.0,0.0,0.0,0.0,"SUPPORTING THE UNITED STATES PRESENCE IN THE PERSIAN GULF, SUSPEND THE RULES AND AGREE"
Passed,-5.1085318500631814e-18,5.886434480789843e-17,0.0,0.0,0.0,0.0,"CONDEMNING THE IRAQI ATTACK AGAINST ISRAEL, SUSPEND THE RULES AND AGREE"
Passed,-5.046310778734499e-17,-5.437416390827624e-17,0.0,0.0,0.0,0.0,"CONDEMNING THE TREATMENT BY THE GOVERNMENT OF IRAQ OF CAPTURED SERVICE MEMBERS OF THE U.S. AND ITS ALLIES IN THE PERSIAN GULF CONFLICT, SUSPEND THE RULES AND AGREE"
Passed,-2.1272263987480885e-17,-4.784735276283112e-17,0.0,0.0,0.0,0.0,"EXTENSION OF TIME UNDER THE INTERNAL REVENUE LAWS FOR INDIVIDUALS PERFORMING SERVICES AS PART OF THE DESERT SHIELD OPERATION, On Motion to Suspend the Rules and Pass"
Passed,-1.9042267714814197e-17,1.9044780844887557e-17,0.0,0.0,0.0,0.0,"VETERANS’ COMPENSATION AMENDMENTS OF 1991, On Motion to Suspend the Rules and Pass"
Passed,2.445889765124321e-17,1.5610029430093861e-18,0.0,0.0,0.0,0.0,"CONDEMNING THE RECENT USE OF SOVIET MILITARY FORCE IN THE BALTIC STATES, SUSPEND THE RULES AND AGREE"
Passed,4.019187274216565e-18,2.262888783084537e-17,0.0,0.0,0.0,0.0,"AGENT ORANGE ACT OF 1991, On Motion to Suspend the Rules and Pass"
Passed,-9.650100285724193e-18,4.1367961908157357e-17,0.0,0.0,0.0,0.0,"SOLDIERS AND SAILORS CIVIL RELIEF ACT AMENDMENTS OF 1991, On Motion to Suspend the Rules and Pass"
