Hastert,-1.3483719018788533e-17,-8.640649148726637e-18,0.0,0.0,0.0,0.0,", Election of the Speaker"
Passed,-1.6064349896383568e-16,-3.872999070438187e-16,0.0,0.0,0.0,0.0,"Rules of the House of Representatives, On Consideration of the Resolution"
Passed,-8.478556904130505e-16,-2.524806280976182e-18,0.0,0.0,0.0,0.0,"Rules of the House of Representatives, On Ordering the Previous Question"
Failed,-4.3136540959914865e-16,-8.497825441478408e-16,0.0,0.0,0.0,0.0,"Rules of the House of Representatives, On Motion to Commit with Instructions"
Passed,2.292662372150167e-16,1.0903946107224254e-16,0.0,0.0,0.0,0.0,"Rules of the House of Representatives, On Agreeing to the Resolution"
Failed,2.931545270613184e-17,-1.2805762836827305e-16,0.0,0.0,0.0,0.0,", On Agreeing to the Objection"
Passed,-2.0680202306009028e-17,-1.8180400261371325e-16,0.0,0.0,0.0,0.0,"Congratulating the people of Ukraine and Viktor Yushchenko on his election as President of Ukraine and his commitment to democracy and reform, On Motion to Suspend the Rules and Agree, as Amended"
Passed,2.7425022795605125e-17,1.0658720827163065e-16,0.0,0.0,0.0,0.0,"Commending Countries and Organizations for Marking the 60th Anniversary of the Liberation of Auschwitz and Urging a Strengthening of the Fight against Racism, Intolerance, Bigotry, Prejudice, Discrimination, and Anti-Semitism, On Motion to Suspend the Rules and Agree"
Failed,1.358870505658018e-16,-6.166527704777677e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-1.3090751768305178e-17,-6.254879681306577e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-6.967405438803753e-17,-1.4892992191449954e-17,0.0,0.0,0.0,0.0,"To amend title 31, United States Code, to provide reasonable standards for congressional gold medals, and for other purposes, On Motion to Recommit with Instructions"
Passed,1.602010912037225e-16,-1.775305019445248e-17,0.0,0.0,0.0,0.0,"To amend title 31, United States Code, to provide reasonable standards for congressional gold medals, and for other purposes, On Passage"
Passed,-6.304311404253724e-17,-4.395459337671217e-17,0.0,0.0,0.0,0.0,"Honoring the contributions of Catholic schools, On Motion to Suspend the Rules and Agree"
Passed,-1.0648679052530853e-16,-8.684333039059314e-17,0.0,0.0,0.0,0.0,"To designate the facility of the United States Postal Service located at 30777 Rancho California Road at Temecula, California, as the “Dalip Singh Saund Post Office Building”, On Motion to Suspend the Rules and Pass"
Passed,-1.8779845756673593e-16,-1.4459750253655784e-16,0.0,0.0,0.0,0.0,"Expressing the continued support of Congress for equal access of military recruiters to institutions of higher education, On Agreeing to the Resolution"
Passed,1.2649757763476764e-16,4.571831246954319e-17,0.0,0.0,0.0,0.0,"Commending the Palestinian people for conducting a free and fair presidential election on January 9, 2005, and for other purposes, On Motion to Suspend the Rules and Agree"
Passed,-1.9692077226155108e-16,-1.5332080659876874e-17,0.0,0.0,0.0,0.0,"Expressing the strong concern of the House of Representatives that the European Union may end its embargo against the People’s Republic of China, On Motion to Suspend the Rules and Agree"
Passed,-1.2130645481634188e-16,-2.10270319836088e-17,0.0,0.0,0.0,0.0,"Relating to the free election in Iraq held on January 30, 2005, On Agreeing to the Resolution"
Passed,4.4811704639063086e-17,-1.5116793322556077e-17,0.0,0.0,0.0,0.0,"Supporting the goals and ideals of National Mentoring Month, On Motion to Suspend the Rules and Agree"
Passed,-7.956312284142531e-17,4.180280269758187e-17,0.0,0.0,0.0,0.0,"To designate the United States courthouse at 300 North Hogan Street, Jacksonville, Florida, as the “John Milton Bryan Simpson United States Courthouse”, On Motion to Suspend the Rules and Pass"
Passed,9.403580381911765e-17,6.507262364925887e-17,0.0,0.0,0.0,0.0,"To designate the Federal building and United States courthouse located at 200 West 2nd Street in Dayton, Ohio, as the “Tony Hall Federal Building and United States Courthouse”, On Motion to Suspend the Rules and Pass"
Passed,1.9333664364608617e-17,6.098710218973257e-17,0.0,0.0,0.0,0.0,"Providing for consideration of the bill (H.R. 418) to establish and rapidly implement regulations for State driver’s license and identification document security standards, to prevent terrorists from abusing the asylum laws of the United States, to unify terrorism-related grounds for inadmissibility and removal, and .., On Consideration of the Resolution"
Passed,2.1579726310420478e-17,-8.114139612962481e-17,0.0,0.0,0.0,0.0,"Expressing the sense of the Congress that the Department of Defense should continue to exercise its statutory authority to support the activities of the Boy Scouts of America, in particular the periodic national and world Boy Scout Jamborees, On Motion to Suspend the Rules and Agree"
Passed,-8.508268786501698e-18,-7.925853930282662e-17,0.0,0.0,0.0,0.0,"Honoring the Tuskegee Airmen for their bravery in fighting for our freedom in World War II, and for their contribution in creating an integrated United States Air Force, On Motion to Suspend the Rules and Agree"
Passed,-9.934581019592118e-17,-3.3357720517227104e-17,0.0,0.0,0.0,0.0,"Supporting the goals and ideals of National Black HIV/AIDS Awareness Day, On Motion to Suspend the Rules and Agree, as Amended"
Passed,5.410926069064566e-18,2.2868428977509225e-17,0.0,0.0,0.0,0.0,"Providing for further consideration of H.R. 418, REAL ID Act, On Agreeing to the Resolution"
Failed,-2.0576730601855665e-17,-2.959122480210447e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,1.9456182123437447e-17,-6.885428152585321e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-9.530980595344012e-17,-3.4285295376199293e-18,0.0,0.0,0.0,0.0,"REAL ID Act, On Motion to Recommit with Instructions"
Passed,9.74534976698284e-17,-2.7067218368548087e-17,0.0,0.0,0.0,0.0,"REAL ID Act, On Passage"
Passed,-3.181689876085812e-17,5.648704923067595e-17,0.0,0.0,0.0,0.0,"Recognizing the contributions of Jibreel Khazan (Ezell Blair, Jr.), David Richmond, Joseph McNeil, and Franklin McCain, the “Greensboro Four”, to the civil rights movement, On Motion to Suspend the Rules and Agree"
Passed,-7.469893712849316e-17,-1.5442817777844314e-18,0.0,0.0,0.0,0.0,"Arthur Stacey Mastrapa Post Office Building, On Motion to Suspend the Rules and Pass"
Passed,4.642383034590554e-18,6.12725321966487e-18,0.0,0.0,0.0,0.0,"Providing for consideration of the bill (H.R. 310) to increase the penalties for violations by television and radio broadcasters of the prohibitions against the transmission of obscene, indecent, and profane material, and for other purposes, On Ordering the Previous Question"
Passed,2.5154641823182176e-18,-1.6404610100546548e-17,0.0,0.0,0.0,0.0,"Broadcast Decency Enforcement Act, On Passage"
Failed,-1.7404716849564786e-18,3.069118692730115e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,2.928237053412717e-19,-8.238508425948739e-18,0.0,0.0,0.0,0.0,"Class Action Fairness Act, On Motion to Commit with Instructions"
Passed,-8.914010187429661e-19,-1.8823546281077175e-17,0.0,0.0,0.0,0.0,"Class Action Fairness Act, On Passage"
Passed,5.397015492645495e-18,7.083262036870114e-18,0.0,0.0,0.0,0.0,"Honoring the life and legacy of former Lebanese Prime Minister Rafik Hariri., On Motion to Suspend the Rules and Agree, as Amended"
Passed,-4.961171294921227e-19,9.06991230934818e-18,0.0,0.0,0.0,0.0,"Providing for the acceptance of a statue of Sarah Winnemucca, presented by the people of Nevade, for placement in National Statuary Hall, and for other purposes, On Motion to Suspend the Rules and Agree, as Amended"
Passed,-4.52379847974806e-18,-2.262182994300122e-18,0.0,0.0,0.0,0.0,"Permitting the use of the rotunda of the Capitol for a ceremony as part of the commemoration of the days of remembrance of victims of the Holocaust, On Motion to Suspend the Rules and Agree"
Passed,1.2193412950422906e-18,-4.692471235141021e-18,0.0,0.0,0.0,0.0,"Providing for the consideration of H.R. 27, Job Training Improvement Act, On Agreeing to the Resolution"
Passed,-1.0384036016936848e-19,1.5304107496668998e-17,0.0,0.0,0.0,0.0,"Humanitarian Assistance Code of Conduct Act, On Motion to Suspend the Rules and Pass"
Failed,-2.110563031265771e-18,-9.594095444407833e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,5.348649675635558e-18,1.171294123647233e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,2.955146154715911e-18,9.728333140192892e-19,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-4.0306233538808677e-19,-4.2277279784327906e-18,0.0,0.0,0.0,0.0,"Job Training Improvement Act, On Motion to Recommit with Instructions"
Passed,5.014503856341317e-19,3.6586607673277295e-18,0.0,0.0,0.0,0.0,"Job Training Improvement Act, On Passage"
Failed,5.0678002984587536e-18,2.6100798332076955e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-2.0937482242138024e-18,-2.7762827703909573e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-6.020657383999283e-19,2.7903053132700764e-18,0.0,0.0,0.0,0.0,"Continuity in Representation Act, On Motion to Recommit with Instructions"
Passed,1.0256969278565273e-17,3.512279288751191e-18,0.0,0.0,0.0,0.0,"Continuity in Representation Act, On Passage"
Passed,-8.572556870872291e-19,-5.769614573504209e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
Passed,-5.422702972390797e-19,2.377021381854392e-19,0.0,0.0,0.0,0.0,"Providing for amounts from the applicable accounts of the House of Representatives for continuing expenses of standing and select committees of the House from April 1, 2005 through April 30, 2005, On Motion to Suspend the Rules and Agree, As Amended"
Passed,6.092506510453797e-19,1.7089468888190239e-18,0.0,0.0,0.0,0.0,"Expressing the sense of the House of Representatives regarding the study of languages and supporting the designation of a Year of Languages, On Motion to Suspend the Rules and Agree"
Failed,2.6680547475955872e-18,-5.4839540562345154e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-4.674954122930395e-18,-3.686018524833765e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-3.747961693019716e-18,3.826863572344112e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,2.2327071624623356e-18,-1.2394346926660054e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Agreed to,-2.4373374230227645e-19,-4.567089922259887e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Passed,4.150258877930499e-18,1.9640421680748424e-18,0.0,0.0,0.0,0.0,", On Approving the Journal"
