Ryan (WI),3.91044972301633e-17,1.95821695198883e-17,0.0,0.0,0.0,0.0,", Election of the Speaker"
Passed,2.1244781923727525e-15,-2.035034063591994e-15,0.0,0.0,0.0,0.0,"Adopting rules for the One Hundred Fifteenth Congress, Table Motion to Refer"
Passed,-4.805869989442486e-16,8.006982523488413e-16,0.0,0.0,0.0,0.0,"Adopting rules for the One Hundred Fifteenth Congress, On Ordering the Previous Question"
Failed,1.6085381923260005e-16,-1.8598626181151962e-16,0.0,0.0,0.0,0.0,"Adopting rules for the One Hundred Fifteenth Congress, Motion to Commit"
Passed,3.061185035153842e-16,7.049197936715786e-16,0.0,0.0,0.0,0.0,"Adopting rules for the One Hundred Fifteenth Congress, On Agreeing to the Resolution"
Failed,-3.5788897882055263e-16,-6.598445395420668e-16,0.0,0.0,0.0,0.0,"Midnight Rules Relief Act of 2017, On Motion to Recommit with Instructions"
Passed,5.662561963147628e-17,-9.190397928043671e-17,0.0,0.0,0.0,0.0,"Midnight Rules Relief Act of 2017, On Passage"
Passed,3.1829884660488996e-16,-1.9262577496749822e-16,0.0,0.0,0.0,0.0,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes, On Ordering the Previous Question"
Passed,1.17001213816649e-16,1.5981956177811628e-16,0.0,0.0,0.0,0.0,"Providing for consideration of the bill (H.R. 26) Regulations from the Executive in Need of Scrutiny Act, and providing for consideration of the resolution (H.Res. 11) objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes, On Agreeing to the Resolution"
Passed,2.4329889123419445e-15,-2.0229831170999337e-15,0.0,0.0,0.0,0.0,"Objecting to United Nations Security Council Resolution 2334 as an obstacle to Israeli-Palestinian peace, and for other purposes, On Agreeing to the Resolution"
Agreed to,-3.116163315978458e-17,-2.0008786548903635e-16,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-1.2206736601535047e-17,3.0731293735698134e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-2.6920191206032124e-16,-7.693477566999155e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,2.008580672981163e-17,-3.064006234211345e-16,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,4.228645944685834e-17,-1.4305406326458103e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,-2.2413626563309215e-16,-3.0390845952575694e-17,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,9.836144451379848e-17,1.1256170168380456e-16,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
Failed,2.8083651187494995e-17,-8.801199163487248e-18,0.0,0.0,0.0,0.0,", On Agreeing to the Amendment"
